#topo1 ((fin.yell,fin.white),est.white,scot.yell);
#topo2 ((fin.yell,est.white),fin.white,scot.yell);
#topo3 ((fin.yell,scot.yell),fin.white,est.white);
topo1	topo2	topo3
124927	112046	97427
159127	93010	82263
134783	100364	99253
152828	94622	86950
135886	98390	100124
119112	106280	109008
136949	95118	102333
109552	114800	110048
139996	98872	95532
112122	116756	105522
nan	nan	nan
140408	96668	97324
156711	93711	83978
211504	72034	50862
198838	78267	57295
133436	137688	63276
178366	103816	52218
127440	100392	106568
111434	127040	95926
91172	100504	142724
75163	175818	83419
95747	118795	119858
141278	116196	76926
66896	155172	112332
81874	139652	112874
114992	125706	93702
117855	103582	112963
153300	93030	88070
144619	94767	95014
108567	130066	95767
135372	101981	97047
122554	104052	107794
140082	87828	106490
93614	122272	118514
91988	108362	134050
99022	111602	123776
105240	109090	120070
91382	132416	110602
85853	118101	130446
107324	116508	110568
161458	55418	117524
125884	126082	82434
85272	124586	124542
84357	136105	113938
130901	114731	88768
137138	125103	72159
127300	103410	103690
114299	111652	108449
106048	107402	120950
100908	107198	126294
100786	114367	119247
139623	98178	96599
110979	115566	107855
112751	100529	121120
93798	105904	134698
129416	96842	108142
121039	105553	107808
101703	113130	119567
108444	108514	117442
115849	107776	110775
108240	116064	110096
97572	132412	104416
122886	123820	87694
126321	111601	96478
122127	106642	105631
116434	107838	110128
85952	152210	96238
107708	108238	118454
